UG_Major,SPSS,R1,SAS,STATA,SYSTAT,RAPIDM,MPLUS,HLM,OTHER,R2,SAS_IML,MatLab,Java,C_C,Python,Pascal,Fortran,OtherProg,Algebra,Calculus,multi_calc,linear_alg,analysis,other_math
Statistics,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,2,0,1
Business and Psychology,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Educational (instructional) Technology,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
English Lit/Math Minor,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,3,1,2,8,0
Psychology and Philosophy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
Bachelor of Design,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Physics,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,5,4,3,0,1
Business Law,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0
Foreign Trade English,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
Statistics & Psychology,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,3,2,1,2,2,1
Psychology,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
Psychology,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Cognitive Science,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0
Actuarial Science/Economics,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0
Education Administration,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0
Finance,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0
Statistics,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,3,0
"Math, Computer Science",1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,3,1
English,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuroscience/Psychology,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0
Economics and Public Health,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,2,1,1,0,0
"Psych, Math, Japanese",1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
Business Administration,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
English Lit,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
Elementary Mathematics Teaching Program,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,2,1,1,1
